"species","commonname"
"Acacia tropica","Wattle"
"Acacia tumida","Pindan Wattle; Wattle; Pilbara Pindan Wattle"
"Acacia tysonii","Tyson's Wattle"
"Acacia uncifera",""
"Acacia uncifolia","Coast Wirilda"
"Acacia undoolyana","Sickle-leaf Wattle"
"Acacia undulifolia","Wave-leaved Acacia"
"Acacia verniciflua","Varnish Wattle"
"Acacia veronica",""
"Acacia verticillata","Prickly Moses; Ovoid Prickly Moses; Needle-leaf Prickly Moses; Broad-leaf Prickly Moses; prickly Moses; Whorled-leaved Acacia; Acacia"
"Acacia vestita","Hairy Wattle"
"Acacia victoriae","Acacia Bush; Bramble Wattle; Prickly Wattle; Акация"
"Acacia viscidula","Sticky Wattle"
"Acacia wanyu","Silver-leaf Mulga"
"Acacia wardellii",""
"Acacia wattsiana","Dog Wattle"
"Acacia websteri",""
"Acacia wilcoxii",""
"Acacia xanthina","White-stemmed Wattle"
"Acacia xiphophylla","Snake-wood"
"Acacia yorkrakinensis",""
"Acaciella angustissima","charamusco, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; Sakil shashib, Pulque, Sakil shashil, Sakil ch'ich'niz, Waxiim, Xaxib vomol, xiaax, Timbre, Xaax, Xaxib, Waxim, Xa'ax, Xaxib te', Waxilim, Timbin, Xa-ax, Huachink, Chilicap, Chac-ch, Guajito de monte, Me' ja', Carboncillo, Guaje, Guaje de bajío, Quebrachón, Ahuehuete, timbre, waaxim (Maya), xáax (Maya); Sakil shashib, Sak xaxap, Sakil shahhib, Saki shashil, Xa'ax, Waaxim, Xaxib pukuj, Xaxib pukj, Timbre, Xaxib, Xax, Waxim, Vax ka', Ya'ax k'a'ak', Chorimuseo, Chilicap, waaxim (Maya), xáax (Maya), xáax che' (Maya); Xa'ax, Guajal, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; Kaxlan xaxib, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; waaxim (Maya), xáax (Maya), xáax che' (Maya); dai, waaxim (Maya), xáax (Maya), xáax che' (Maya); hoja finita, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; timbre, waaxim (Maya), xáax (Maya); parotilla, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; garabato, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; yaga-ñupi, xaxib, noj chukum, yaxal xaxib, k'aantebo', me'ja'te', waaxiim, me'ja' te', huasache, guash silvestre, palo de pulque, Timbre, charamusco, barba de chivo, vinorama, gavia, jicarillo, Timbrillo, Timbe, k'antemo, barbas de chivo, guajillo, xaax, vainilla, guaje, palo dulce, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; White Ball Acacia; timbre, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; guajillo, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; bayo; Guayacan; Dormilón; barbana, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; guajito, palo de concha macho, acacia, algodoncillo, barba de chivo, barbas de chivo, cantemó, guaje, guajillo, huaje, huajillo, jicarillo, k'antemo (Maya), mezquite, palo de pulque, tepeguaje, tepehuaje, timbre, timbrillo, waaxim (Maya), xa'ax (Maya), xaax (Maya), xaxim (Maya), ya'ax (Maya), yaga-ñupi (Zapoteco), ángel; guajal, waaxim (Maya), xáax (Maya), xáax che' (Maya)"
"Acaciella glauca","White lead tree; wata pana sjimaron; almendra de guaje, barba de chivo, cola de zorro, guachin, guachín (Maya), guaje, guaje blanco, guaje colorado, guaje de castilla, guajillo, huaje, huatsin (Maya), huaxe (Maya), huaxi (Náhuatl), kiulilac (Totonaco), lakak (Totonaco), lalax (Tepehua), nacaste, pacapaca (Zoque), tepeguaje, tumbapelo, uaxim (Maya), uaxin (Náhuatl), waaxiim (Maya), waaxim (Maya), xaxim (Maya); Redwood"
"Acalypha acrogyna",""
"Acalypha angatensis",""
"Acalypha apodanthes",""
"Acalypha cardiophylla",""
"Acalypha caturus",""
"Acalypha chirindica",""
"Acalypha cuneata","Vara de alcalde; Maiztostao"
"Acalypha diversifolia","Tapa camino, Vara de acahual, Vara prieta, Yana varilla negra, Janavarillo lanco, Camino, Chi'rip'tux achak ubaquej, corre chachalaca, Ekxin poy cuy, Azota caballo, B. sakil ulsim, Planchira, Pata de perdiz, Pio picho, azota caballos, costilla de caballo, costilla de danta, palo blanco, palo de agua, pata de perdiz, tapacamino colorado, vara prieta; azota caballos, costilla de caballo, costilla de danta, palo blanco, palo de agua, pata de perdiz, tapacamino colorado, vara prieta; Friegaplatos | juanita | vara negra; ch  ilibux, pata de perdiz, papacamino, palo blanco, tapacamino, palo de agua, azota caballos, costilla de caballo, costilla de danta, ch' ilibux, tapacamino colorado, vara prieta, azota caballos, costilla de caballo, costilla de danta, palo blanco, palo de agua, pata de perdiz, tapacamino colorado, vara prieta; Zanca de mula | Pianchire teu | Juana-juana; Zanca de mula; Vara de alcalde; Arrayán; chilib tux; xchilib tux, azota caballos, costilla de caballo, costilla de danta, palo blanco, palo de agua, pata de perdiz, tapacamino colorado, vara prieta"
"Acalypha emirnensis",""
"Acalypha fasciculata",""
"Acalypha fruticosa","Kisakati(Bende); Kiherere Neupe(Kiruli); Ikundambuni(Chagga); Mfulwi(Luguru); Mfulwe(Nguru); Mfulwe(Zigua)"
"Acalypha glabrata",""
"Acalypha grandibracteata",""
"Acalypha grandis",""
"Acalypha grisebachiana",""
"Acalypha hellwigii",""
"Acalypha juruana",""
"Acalypha lepinei",""
"Acalypha longispica",""
"Acalypha lyonsii",""
"Acalypha macrostachya","Sayina te', Sarnillo, Sac juluchai, Sop che', Tzotzotz zulsimtez, Ulusim, Ubojo saj, Xayan ché, K'ak'a che', Chirip turich, Malacatillo, Chichicaste cola de gato, Chichicaste dulce, nichum tec, cola de gato, cometa, corneta; cola de gato, cometa, corneta; Zanca mula; sayi, sawana bok, saina bok, verdura (sayina), verdura (sawana), me' moem, me'moem, sayina bok, bak sinte', hierba mora hembra, altamisa, corneta, cola de gato, cometa, custicnanácatl, cola de gato, cometa, corneta; Zanca e mula; zancaemula | zanco de mula"
"Acalypha muelleriana",""
"Acalypha neptunica","Parosi(Masai); Mkagati(Kiganda)"
"Acalypha novoguineensis",""
"Acalypha ornata","Mfulwe (Luguru); Mzindu (Sambaa); Mzindu (Zigua); Mfulwe (Zigua); Iluguti (Sukuma)"
"Acalypha padifolia",""
"Acalypha pancheriana",""
"Acalypha peruviana",""
"Acalypha platyphylla",""
"Acalypha pubiflora","Acalypha"
"Acalypha radula",""
"Acalypha raivavensis",""
"Acalypha rapensis",""
"Acalypha repanda",""
"Acalypha rivularis",""
"Acalypha schiedeana","Tapa camino, Itsaan chiilab ooy; Vera de alcalde"
"Acalypha sonderiana",""
"Acalypha stachyura",""
"Acalypha stellata",""
"Acalypha stenoloba",""
"Acalypha stricta",""
"Acalypha subintegra",""
"Acalypha tenuifolia",""
"Acalypha villosa","Ch'ilibtux, Moco de paro, gusanillo de río, Chichicaste cola de gato, Trencillo, ya'ax ch'ilib tuux (Maya); ya'ax ch'ilib tuux (Maya); tapacamino, ya'ax ch'ilib tuux (Maya); Varita de lazo"
"Acalypha wilkesiana","Green Acalypha; Sunset hue/ variegated Acalypha; Red Acalypha- cooper leaf; Redleaf; capa del rey, caracol, cola de gato, gusano, manto de Jesús, pastor, payasito; Croto, Hoja de bronce, Payacito, capa del rey, caracol, cola de gato, gusano, manto de Jesús, pastor, payasito; Copperleaf; Reina Carlota; Copper leaf"
"Acanthella sprucei","Gipacoaconaperri"
"Acanthocladus dichromus",""
"Acanthocladus guayaquilensis",""
"Acanthocladus pulcherrimus",""
"Acanthocladus santosii",""
"Acanthocladus scleroxylon",""
"Acanthosyris annonagustata",""
"Acanthosyris asipapote",""
"Acanthosyris falcata",""
"Acanthosyris glabrata",""
"Acanthosyris paulo-alvinii",""
"Acanthosyris spinescens","Quebracho flojo"
"Acca macrostema",""
"Acer acuminatum",""
"Acer amamiense",""
"Acer amplum",""
"Acer argutum","アサノハカエデ"
"Acer barbinerve","Клен бородатый; 청시닥나무"
"Acer binzayedii",""
"Acer buergerianum","trident maple; トウカエデ"
"Acer caesium",""
"Acer calcaratum",""
"Acer campbellii",""
"Acer campestre","Field Maple; naverlönn; Navr; Spaanse aak; Erable champêtre; field maple; hedge maple; common maple; Клен полевой, Клен равнинный; Hedge maple; Hedge Maple; hedge maple; field maple;hedge maple; navr; Common Maple"
"Acer capillipes","ホソエカエデ"
"Acer cappadocicum","Cappadocian Maple; turkisk lönn; Клен каппадокийский; Érable de Cappadoce"
"Acer carpinifolium","avenbokslönn; hornbeam maple; チドリノキ"
"Acer caudatum",""
"Acer chiangdaoense",""
"Acer chienii",""
"Acer circinatum","vine maple; Vin-løn; érable circiné | vine maple"
"Acer cissifolium","ミツデカエデ"
"Acer confertifolium",""
"Acer cordatum",""
"Acer coriaceifolium",""
"Acer crassum",""
"Acer crataegifolium","ウリカエデ"
"Acer davidii","Snakebark Maple"
"Acer diabolicum","カジカエデ"
"Acer distylum","ヒトツバカエデ; アサノハカエデ"
"Acer duplicatoserratum",""
"Acer elegantulum",""
"Acer erianthum",""
"Acer erythranthum",""
"Acer fabri",""
"Acer fenzelianum",""
"Acer floridanum",""
"Acer forrestii",""
"Acer glabrum","mountain maple; rock maple; Douglas maple | érable de Douglas; Douglas maple | érable de Douglas | érable nain de Douglas"
"Acer gracilifolium",""
"Acer granatense","Rotaboc"
"Acer grandidentatum","palo de azúcar"
"Acer griseum","kopparlönn; Chinese paperbark maple; Paperbark Maple; Paper-bark Maple; paperbark maple"
"Acer heldreichii","balkanlönn; Græsk Løn; Heldrich's Maple; Клен Гельдрейха; Balkan maple"
"Acer henryi",""
"Acer hyrcanum","Клен Стевена; Клен гирканский"
"Acer japonicum","solfjäderslönn; Fullmoon Maple; Downy Japanese-maple; Клен японский; ハウチワカエデ; Érable du Japon"
"Acer komarovii","시닥나무"
"Acer laevigatum",""
"Acer laurinum",""
"Acer laxiflorum",""
"Acer leipoense",""
"Acer leucoderme",""
"Acer lobelii",""
"Acer longipes",""
"Acer lucidum",""
"Acer macrophyllum","Oregon Maple; Oregon maple; bigleaf maple; Bigleaf Maple"
"Acer mandshuricum","Клен маньчжурский"
"Acer maximowiczianum","メグスリノキ"
"Acer maximowiczii",""
"Acer mazandaranicum",""
"Acer metcalfii",""
"Acer miaoshanicum",""
"Acer micranthum","コミネカエデ"
"Acer miyabei","シバタカエデ"
"Acer monspessulanum","Montpellier Maple; dvärglönn; Erable de Montpellier; Montpelier maple; Клен грузинский; Érable de Montpellier; Клен туркменский; Montpellieresdoorn"
"Acer morifolium",""
"Acer negundo","Box-elder Maple; Ashleaf Maple; Ash leaved Maple; asklönn; Askebladet Løn; Arce; Manitoba maple; Nikko Maple; amargoso, arce, fresno, granado, haya, maple, negundo, palo blanco, palo de azúcar, zarcillo; Клен ясенелистный, Клен американский; Askebladet løn; Erable negundo; arce, zarcillo, maple, tepejilote, acezintle, acecintle, icoj; abundio, amargoso, arce, fresno, granado, haya, maple, negundo, palo blanco, palo de azúcar, zarcillo; box-elder, ash-leaf maple; box-elder; Box-elder; Box Elder; Ash-leaved maple; Box-elder, Ash-leaf maple; boxelder maple; Box-elder, ash-leaf maple; Box elder; Boxelder Maple; Box-Elder; boxelder, box elder; boxelder; Vederesdoorn; érable à Giguère | Manitoba maple; negundo, zarcillo, aretillo; Kantelates, Acer, Arce maple; トネリコバノカエデ; Zarcillo, Érable, Box elder, amargoso, arce, fresno, granado, haya, maple, negundo, palo blanco, palo de azúcar, zarcillo; ash-leaf maple;ashleaf maple;box elder;boxelder;boxelder maple;California boxelder;Manitoba maple;three-leaf maple;western boxelder; Клен ясенелистный; érable à Giguère | Manitoba maple | ash-leaved maple | aulne-buis | box-elder | box-elder maple | érable à feuilles composées | érable à feuilles de Frêne | érable argilière | érable négondo | érable négundo | plaine à Giguère | three-leaved maple | western box-elder"
"Acer nigrum","black maple; black maple | érable noir; black maple;black sugar maple;hard maple;rock maple;sugar maple;?rable noir"
"Acer nipponicum","テツカエデ; キタノテツカエデ; コウシンテツカエデ"
"Acer oblongum","flying moth tree"
"Acer obtusifolium",""
"Acer oligocarpum",""
"Acer oliverianum",""
"Acer opalus","Italian Maple"
"Acer palmatum","Smooth Japanese-maple; Japanese Maple; japansk lönn; 단풍나무; オオモミジ; ヤマモミジ; イロハモミジ; Japanese maple; タカオモミジ（イロハカエデ）; Japanse esdoorn; Érable japonais; ノムラカエデ"
"Acer pauciflorum",""
"Acer paxii",""
"Acer pectinatum",""
"Acer pensylvanicum","amerikansk strimlönn; Moosewood; Snake-Bark Maple; Striped Maple; Maple; Striped Maple; Striped maple; moosewood;striped maple"
"Acer pentaphyllum",""
"Acer pentapomicum","Клен"
"Acer pictum","고로쇠나무; Клен моно, Клен мелколистный; ウラゲエンコウカエデ; ケウラゲエンコウカエデ; アカイタヤ; オニイタヤ; イトマキイタヤ; ミヤマオニイタヤ; ケエンコウカエデ; エゾイタヤ; 우산고로쇠; イタヤカエデ; エンコウカエデ; ウラジロイタヤ; タイシャクイタヤ; Go-ro-soe-na-mu"
"Acer pilosum",""
"Acer pinnatinervium",""
"Acer platanoides","Norway Maple; skogslönn; Variegated Norway-Maple; Spids-Løn; Noorse esdoorn; Erable plane; Norway maple; Sugar Maple; Red Maple; sycamore; sycamore maple; Клен платановидный, Клен остролистный; Spids-løn; Клен туркестанский; spisslønn; Sugar maple; crimson king maple; érable de Norvège | Norway maple; Клён остролистный; spids-løn; Клен платанолистный"
"Acer pseudoplatanus","Sycamore; Sycamore Maple; tysklönn; Ahorn; Gewone esdoorn; Erable sycomore; sycamore; sycamore maple; Moosewood; Snake-Bark Maple; Striped Maple; Maple; sycamore; Клен ложноплатановый; Brilliant Sycamore; platanlønn; Sycamore maple; sycamore maple; sycamore;sycamore maple; ahorn"
"Acer pseudosieboldianum","단단풍나무; 털단풍; Клен ложнозибольдов; 섬단풍나무; Dang-dan-pung-na-mu; 당단풍나무"
"Acer pseudowilsonii",""
"Acer pubinerve",""
"Acer pycnanthum","ハナノキ"
"Acer rubrum","Red Maple; mountain maple; Swamp maple; Red maple; Клен; red maple; Red or Scarlet Maple; Silver maple; Érable rouge; Rode esdoorn; acer rubrum"
"Acer rufinerve","ウリハダカエデ; Grey-budded Snake-bark-maple; red-vein maple; Erable jaspé de gris; Grijzebastesdoorn"
"Acer saccharinum","Silver Maple; Silver maple; silverlönn; Sugar Maple; Red Maple; Клен серебристый, Клен сахаристый; Sølv-løn; silver maple; [silver maple]; Witte esdoorn; érable argenté | silver maple; Érable argenté"
"Acer saccharum","Sugar Maple; mountain maple; Norway Maple; sugar maple; Red Maple; Sugar maple; Клен сахарный; Black Sugar Maple; Black maple; Sugar maples; Sugar ample; acer saccharum"
"Acer sempervirens","Клен"
"Acer serrulatum",""
"Acer shirasawanum","shirasawalönn; ヒナウチワカエデ; オオイタヤメイゲツ"
"Acer sieboldianum","コハウチワカエデ"
"Acer sikkimense",""
"Acer sinense",""
"Acer sino-oblongum",""
"Acer sinopurpurascens",""
"Acer skutchii","algodoncillo, álamo plateado; álamo plateado; Maple, álamo plateado"
"Acer spicatum","axlönn; mountain maple; Mountain Maple; érable à épis | mountain maple"
"Acer stachyophyllum",""
"Acer sterculiaceum",""
"Acer sycopseoides",""
"Acer tataricum","rysk lönn; tatarlönn; ginnalalönn; Russisk Løn; amur maple; Клен татарский, Черноклен; 신나무; Клен гиннала, Клен приречный; Клен Семенова; カラコギカエデ; sibirlønn; tatarlønn; Tatarian maple; Amur maple; targar maple; Sin-na-mu; Tartar Maple; Amoeresdoorn; Tataarse esdoorn"
"Acer tegmentosum","Клен зеленокорый"
"Acer tenellum",""
"Acer thomsonii",""
"Acer tibetense",""
"Acer tonkinense",""
"Acer triflorum","나도박달; 복자기"
"Acer truncatum","Shantung maple"
"Acer tschonoskii","guldlönn; ミネカエデ; オオバミネカエデ; ナンゴクミネカエデ"
"Acer tsinglingense",""
"Acer tutcheri",""
"Acer ukurunduense","부게꽃나무; Клен желтый, Клен укурунду; オガラバナ; ウスゲオガラバナ"
"Acer velutinum",""
